split,model,amount,level,metric,value,pvalue
1,SOMOS,30,System,KTAU,0.6000000000000001,0.00994553671637
1,SOMOS,40,Utterance,MSE,0.39272952591242,NaN
1,SOMOS,40,System,MSE,0.2220294278732789,NaN
1,SOMOS,40,Utterance,LCC,0.7510281638288516,3.4316815701964866e-21
1,SOMOS,40,Utterance,SRCC,0.7726643614529662,4.780616077812733e-23
1,SOMOS,40,Utterance,KTAU,0.5674954429144173,1.5619401151487717e-18
1,SOMOS,40,System,LCC,0.7401844590502135,0.0091944990257386
1,SOMOS,40,System,SRCC,0.5727272727272729,0.0655430526010184
1,SOMOS,40,System,KTAU,0.4181818181818181,0.0865612473945807
1,BVCC-SOMOS,0,Utterance,MSE,0.7850041174615107,NaN
1,BVCC-SOMOS,0,System,MSE,0.3185375220805787,NaN
1,BVCC-SOMOS,0,Utterance,LCC,0.2273028091392416,0.0169363379219707
1,BVCC-SOMOS,0,Utterance,SRCC,0.2604040340392491,0.0060049415441893
1,BVCC-SOMOS,0,Utterance,KTAU,0.1810445620588482,0.0050682541689027
1,BVCC-SOMOS,0,System,LCC,0.615324602491955,0.0438912209456836
1,BVCC-SOMOS,0,System,SRCC,0.6818181818181819,0.020842853610945
1,BVCC-SOMOS,0,System,KTAU,0.5272727272727272,0.026384479717813
1,BVCC-SOMOS,10,Utterance,MSE,0.5383228852819791,NaN
1,BVCC-SOMOS,10,System,MSE,0.2369205011545614,NaN
1,BVCC-SOMOS,10,Utterance,LCC,0.6197764331455631,5.230593319815307e-13
1,BVCC-SOMOS,10,Utterance,SRCC,0.5882026752503396,1.4104361492730292e-11
1,BVCC-SOMOS,10,Utterance,KTAU,0.402970154260017,4.426735999636174e-10
1,BVCC-SOMOS,10,System,LCC,0.7620633481567886,0.006406079236391
1,BVCC-SOMOS,10,System,SRCC,0.8272727272727273,0.0016769738964523
1,BVCC-SOMOS,10,System,KTAU,0.7090909090909091,0.0015912097162097
1,BVCC-SOMOS,20,Utterance,MSE,0.4009313083519305,NaN
1,BVCC-SOMOS,20,System,MSE,0.1784031357156139,NaN
1,BVCC-SOMOS,20,Utterance,LCC,0.7608056017355225,5.261286165430758e-22
1,BVCC-SOMOS,20,Utterance,SRCC,0.6937465342710086,4.416250749831637e-17
1,BVCC-SOMOS,20,Utterance,KTAU,0.4957450634809567,1.6620805392000934e-14
1,BVCC-SOMOS,20,System,LCC,0.8712120091153336,0.0004783927300655
1,BVCC-SOMOS,20,System,SRCC,0.6818181818181819,0.020842853610945
1,BVCC-SOMOS,20,System,KTAU,0.5272727272727272,0.026384479717813
1,BVCC-SOMOS,30,Utterance,MSE,0.5135488203207285,NaN
1,BVCC-SOMOS,30,System,MSE,0.2376837358345724,NaN
1,BVCC-SOMOS,30,Utterance,LCC,0.6279170780078734,2.1044506648606986e-13
1,BVCC-SOMOS,30,Utterance,SRCC,0.5839017551057188,2.1500939589027698e-11
1,BVCC-SOMOS,30,Utterance,KTAU,0.4126481124161582,1.6806277221450216e-10
1,BVCC-SOMOS,30,System,LCC,0.7168833443343252,0.0130400420223823
1,BVCC-SOMOS,30,System,SRCC,0.6636363636363638,0.0259841339187655
1,BVCC-SOMOS,30,System,KTAU,0.4909090909090909,0.0405323573031906
1,BVCC-SOMOS,40,Utterance,MSE,0.3965018500832834,NaN
1,BVCC-SOMOS,40,System,MSE,0.20800124382541,NaN
1,BVCC-SOMOS,40,Utterance,LCC,0.7501481999536459,4.04532849394546e-21
1,BVCC-SOMOS,40,Utterance,SRCC,0.7340101797758395,7.357030619448568e-20
1,BVCC-SOMOS,40,Utterance,KTAU,0.5291173329848919,2.590437408098818e-16
1,BVCC-SOMOS,40,System,LCC,0.7999521644943344,0.0031135471478792
1,BVCC-SOMOS,40,System,SRCC,0.6727272727272727,0.0233130398331859
