listener,level,metric,value,pvalue
9,Utterance,MSE,0.6090062564626286,NaN
9,System,MSE,0.2108304952979889,NaN
9,Utterance,LCC,0.5988619884744049,4.8278716458443264e-12
9,Utterance,SRCC,0.5473980335009024,6.085927223216589e-10
9,Utterance,KTAU,0.384949128727892,2.534580495482972e-09
9,System,LCC,0.963574112030054,1.866181471803052e-06
9,System,SRCC,0.8909090909090911,0.0002334581703787
9,System,KTAU,0.7818181818181819,0.0003334435626102
10,Utterance,MSE,1.139883372649129,NaN
10,System,MSE,0.6698171601552485,NaN
10,Utterance,LCC,0.4869292361816446,6.888191205372217e-08
10,Utterance,SRCC,0.4123383210349163,7.603533302288412e-06
10,Utterance,KTAU,0.2915067741168735,6.401493415461995e-06
10,System,LCC,0.927991146198742,3.804179461425269e-05
10,System,SRCC,0.8454545454545455,0.0010451821458586
10,System,KTAU,0.7454545454545454,0.0007595298220298
11,Utterance,MSE,0.5676185849346975,NaN
11,System,MSE,0.1631782451239765,NaN
11,Utterance,LCC,0.5844477185508435,2.0387425599123787e-11
11,Utterance,SRCC,0.5741097230783432,5.489082188594821e-11
11,Utterance,KTAU,0.4049724904302531,3.6294648501888875e-10
11,System,LCC,0.91358615672406,8.46095633704753e-05
11,System,SRCC,0.9454545454545454,1.118303770149319e-05
11,System,KTAU,0.8545454545454545,4.624619207952541e-05
12,Utterance,MSE,1.1461393220894112,NaN
12,System,MSE,0.1478748252078886,NaN
12,Utterance,LCC,0.3804561943887792,4.132222300709295e-05
12,Utterance,SRCC,0.3864561590325387,3.044744344124271e-05
12,Utterance,KTAU,0.2698147989393157,2.9554458923997527e-05
12,System,LCC,0.7864588929609173,0.0040901003549442
12,System,SRCC,0.6454545454545455,0.0319627993280174
12,System,KTAU,0.4545454545454545,0.0601701539201539
13,Utterance,MSE,1.0653041591578605,NaN
13,System,MSE,0.5965258255494702,NaN
13,Utterance,LCC,0.4252241023748249,3.6463116921322432e-06
13,Utterance,SRCC,0.4426746854512198,1.2828439541615908e-06
13,Utterance,KTAU,0.2998498414928573,3.4533616046425565e-06
13,System,LCC,0.7366028050999612,0.0097234446568201
13,System,SRCC,0.8090909090909091,0.0025585801997139
13,System,KTAU,0.6363636363636364,0.0057071709155042
14,Utterance,MSE,2.391837602620579,NaN
14,System,MSE,1.878852920771917,NaN
14,Utterance,LCC,0.3500571511285189,0.0001776653509775
14,Utterance,SRCC,0.3680532701118446,7.625675194001268e-05
14,Utterance,KTAU,0.2521274961022301,9.498261205316993e-05
14,System,LCC,0.7030097128672527,0.0158167157498835
14,System,SRCC,0.7545454545454545,0.0072820410084291
14,System,KTAU,0.6000000000000001,0.00994553671637
15,Utterance,MSE,0.9061882281903364,NaN
15,System,MSE,0.3590955920515938,NaN
15,Utterance,LCC,0.4580863247031622,4.852987423777619e-07
15,Utterance,SRCC,0.4069689333071978,1.023695874096097e-05
15,Utterance,KTAU,0.2714834124145125,2.6374597290576545e-05
15,System,LCC,0.9024944015124152,0.0001433130385828
15,System,SRCC,0.6727272727272727,0.0233130398331859
15,System,KTAU,0.5636363636363636,0.0165405042488375
16,Utterance,MSE,0.8973132967204929,NaN
16,System,MSE,0.4749897883007921,NaN
16,Utterance,LCC,0.6305442593226087,1.5597151408340813e-13
16,Utterance,SRCC,0.5281701253071835,3.030120284874799e-09
16,Utterance,KTAU,0.3589187585148226,2.756354638834485e-08
16,System,LCC,0.943608858512713,1.29545780475947e-05
16,System,SRCC,0.7363636363636363,0.0097595359599169
16,System,KTAU,0.5636363636363636,0.0165405042488375
17,Utterance,MSE,1.3566012723133192,NaN
17,System,MSE,0.9076517603844302,NaN
17,Utterance,LCC,0.5389451119267692,1.2479603034106011e-09
17,Utterance,SRCC,0.4781279726810921,1.2739189875383204e-07
17,Utterance,KTAU,0.3218755393654545,6.267083228421194e-07
17,System,LCC,0.9039126953364878,0.0001344511994019
17,System,SRCC,0.8363636363636365,0.0013331850799508
17,System,KTAU,0.7090909090909091,0.0015912097162097
18,Utterance,MSE,1.0502360477287096,NaN
18,System,MSE,0.628396192212523,NaN
18,Utterance,LCC,0.4777890160494925,1.3039980762456918e-07
18,Utterance,SRCC,0.4319855013182052,2.4493865473639898e-06
18,Utterance,KTAU,0.2951777237623064,4.888806086997826e-06
18,System,LCC,0.6403111250895214,0.0338152603714265
18,System,SRCC,0.5909090909090909,0.0555756042887746
18,System,KTAU,0.4181818181818181,0.0865612473945807
19,Utterance,MSE,2.1807778893752463,NaN
