#,Study,Arch.,Pipeline (basis),Implementation,Mono/multi,Input type,Model note,Source lang family,Source lang,Total source lang (min),Total source lang (utterances),Source data,Target lang family,Target lang,Target lang (minutes),Target lang (utterances),Target data,Combined data,Data rate (target/combied),Metric,Criterion,Type,Value
728,P,HSMM,,,Multi,,Baseline,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,MGC RMSE,Acoustics,O,0.056
729,P,HSMM,,,Multi,,Proposed SM,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,MGC RMSE,Acoustics,O,0.052
730,P,HSMM,,,Multi,,L2NN,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,MGC RMSE,Acoustics,O,0.04
731,P,HSMM,,,Multi,,WLS 2PCA,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,MGC RMSE,Acoustics,O,0.0345
732,P,HSMM,,,Multi,,eigenEn 2PCA,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,MGC RMSE,Acoustics,O,0.032
733,P,HSMM,,,Multi,,WLS 3PCA,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,MGC RMSE,Acoustics,O,0.0345
734,P,HSMM,,,Multi,,eigenEn 3PCA,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,MGC RMSE,Acoustics,O,0.032
735,P,HSMM,,,Multi,,WLS 10PCA,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,MGC RMSE,Acoustics,O,0.0345
736,P,HSMM,,,Multi,,eigenEn 10PCA,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,MGC RMSE,Acoustics,O,0.03
737,P,HSMM,,,Multi,,Baseline,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,MGC RMSE,Acoustics,O,0.0575
738,P,HSMM,,,Multi,,Proposed SM,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,MGC RMSE,Acoustics,O,0.052
739,P,HSMM,,,Multi,,L2NN,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,MGC RMSE,Acoustics,O,0.04
740,P,HSMM,,,Multi,,WLS 2PCA,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,MGC RMSE,Acoustics,O,0.0345
741,P,HSMM,,,Multi,,eigenEn 2PCA,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,MGC RMSE,Acoustics,O,0.032
742,P,HSMM,,,Multi,,WLS 3PCA,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,MGC RMSE,Acoustics,O,0.0345
743,P,HSMM,,,Multi,,eigenEn 3PCA,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,MGC RMSE,Acoustics,O,0.032
744,P,HSMM,,,Multi,,WLS 10PCA,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,MGC RMSE,Acoustics,O,0.0345
745,P,HSMM,,,Multi,,eigenEn 10PCA,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,MGC RMSE,Acoustics,O,0.029
746,P,HSMM,,,Multi,,Baseline,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,LF0 RMSE,Acoustics,O,0.18
747,P,HSMM,,,Multi,,Proposed SM,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,LF0 RMSE,Acoustics,O,0.095
748,P,HSMM,,,Multi,,L2NN,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,LF0 RMSE,Acoustics,O,0.097
749,P,HSMM,,,Multi,,WLS 2PCA,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,LF0 RMSE,Acoustics,O,0.12
750,P,HSMM,,,Multi,,eigenEn 2PCA,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,LF0 RMSE,Acoustics,O,0.08
751,P,HSMM,,,Multi,,WLS 3PCA,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,LF0 RMSE,Acoustics,O,0.12
752,P,HSMM,,,Multi,,eigenEn 3PCA,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,LF0 RMSE,Acoustics,O,0.08
753,P,HSMM,,,Multi,,WLS 10PCA,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,LF0 RMSE,Acoustics,O,0.12
754,P,HSMM,,,Multi,,eigenEn 10PCA,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,LF0 RMSE,Acoustics,O,0.08
755,P,HSMM,,,Multi,,Baseline,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,LF0 RMSE,Acoustics,O,0.2
756,P,HSMM,,,Multi,,Proposed SM,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,LF0 RMSE,Acoustics,O,0.08
757,P,HSMM,,,Multi,,L2NN,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,LF0 RMSE,Acoustics,O,0.09
758,P,HSMM,,,Multi,,WLS 2PCA,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,LF0 RMSE,Acoustics,O,0.12
759,P,HSMM,,,Multi,,eigenEn 2PCA,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,LF0 RMSE,Acoustics,O,0.065
760,P,HSMM,,,Multi,,WLS 3PCA,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,LF0 RMSE,Acoustics,O,0.12
761,P,HSMM,,,Multi,,eigenEn 3PCA,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,LF0 RMSE,Acoustics,O,0.065
762,P,HSMM,,,Multi,,WLS 10PCA,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,LF0 RMSE,Acoustics,O,0.12
763,P,HSMM,,,Multi,,eigenEn 10PCA,,Turkish,,9860,98.6,,English,,5.0,0.05,98.64999999999999,0.0005068423720223012,LF0 RMSE,Acoustics,O,0.068
764,P,HSMM,,,Multi,,Baseline,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,LF0 RMSE,Acoustics,O,0.195
765,P,HSMM,,,Multi,,Proposed SM,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,LF0 RMSE,Acoustics,O,0.075
766,P,HSMM,,,Multi,,L2NN,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,LF0 RMSE,Acoustics,O,0.085
767,P,HSMM,,,Multi,,WLS 2PCA,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,LF0 RMSE,Acoustics,O,0.12
768,P,HSMM,,,Multi,,eigenEn 2PCA,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,LF0 RMSE,Acoustics,O,0.06
769,P,HSMM,,,Multi,,WLS 3PCA,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,LF0 RMSE,Acoustics,O,0.12
770,P,HSMM,,,Multi,,eigenEn 3PCA,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,LF0 RMSE,Acoustics,O,0.06
771,P,HSMM,,,Multi,,WLS 10PCA,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,LF0 RMSE,Acoustics,O,0.12
772,P,HSMM,,,Multi,,eigenEn 10PCA,,Turkish,,9860,98.6,,English,,10.0,0.1,98.69999999999999,0.0010131712259371835,LF0 RMSE,Acoustics,O,0.06
773,P,HSMM,,,Multi,,baseline,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,A/B Preference,Overall quality,S,0.08
774,P,HSMM,,,Multi,,proposed SM,,Turkish,,9860,98.6,,English,,2.0,0.02,98.61999999999999,0.00020279862096937745,A/B Preference,Overall quality,S,0.78
